,内容,评分,评价,不足之处,论文选题,文献综述,论文水平,论文写作,对论文熟悉程度
10,脉冲神经网络具有功耗低等优良特性，然而其训练过程中存在大量问题，该文选题具有较重要的理论研究意义和一定的工程价值。针对训练中的问题，该文提出个简洁高效的神经元模型和基于脉冲事件驱动的仿真方式。基于提出的模型，该文还提出两种多脉冲学习算法，计算更加高效。文献综述全面，书写规范，条理清晰，理论分析和实验对比充分，达到专业硕士学位论文的要求,92,优秀,,优秀,优秀,优秀,优秀,熟悉
11,该论文研究的是高效鲁棒多脉冲学习算法及应用。 该论文研究意义重要，选题明确，文献综述撰写规范，引用全面合理。 简单看，论文的研究内容和水平属于国内较优秀的行列。 但毕业论文引用文献了46] 作者Yu 0.(也是天津大学，发表在2019年)等人的文章，且文献论文中的数学分析、实验结果 (如图标、数据等)与该论文几乎相同。但文献论文中未见学生作者。 如果《46] 论文是该学生的劳动成果，则该学生的毕业论文是优秀的: 但如果《46]论文不是该学生的成果，毕业论文大量复制了这篇参考论文，则是不合格的毕业论文。,70,一般,4.4节中，实验数据是MNIST数据集，但图4-5给了其他数据集的表示，不妥。学术成果没有题目，无法判断是否与本论文相关性。 简单看，论文的研究内容和水平属于国内较优秀的行列。 但具体内容论文引用文献【46】作者Yu Q.等人的文章，且论文中的数学分析、实验结果（如图标、数据等）与该论文几乎相同。 但该论文未见学生作者。 如果【46】论文是该学生的劳动成果，则该学生的毕业论文是优秀的； 但如果【46】论文不是该学生的成果，毕业论文大量复制了这篇参考论文，则是不合格的毕业论文。 从文献【46】发表时间2019年推断，不应该由2022年毕业的硕士生完成的工作。,优秀,优秀,一般,一般,熟悉
12,论文“面向高效鲁棒多脉冲学习算法及应用研究”的选题直接来源于工程实际具有较大的理论研究意义和应用价值。论文主要完成了以下工作: (1)通过脉冲函数模拟突触电流输入和放电输出对膜电位的影响引入了一个简化的脉冲神经元模型: (2)基于简化的脉冲神经元模型，提出了两种改进的高效鲁棒多脉冲学习算法即高效多脉冲学习算法EML和仅依赖神经元当前响应状态的多脉冲学习算法EMLC;(3)在一些典型的任务上评估了所提出的学习算法的性能。论文写作规范、条理清晰、结构严谨，表明论文作者具有较扎实的相关领域方面的知识，具有较强的科学研究能力。审者认为本论文已达到硕士学位论文的要求，同意进行论文答辩。,90,优秀,,良好,良好,优秀,优秀,很熟悉
13,论文为了解决隐空间图像编辑语义耦合的问题，提出了属性一致性网络。将输入分解为内容变量和属性变量，保证了图像编辑的语义解耦。同时，针对多模态图像变换没有充分利用模态间的一致性和互补性问题，提出利用注意力机制解决该问题，显著提高了多模态图像质量。因而，该论文的选题和工作具有一定的实际意义。 论文能体现作者所做的工作，结构合理。但论文的撰写得需要进一步的加强，提升论文的质量。总体来说，基本达到硕士论文的要求。,70,一般,1， 摘要部分，由于本文做的工作是隐空间编辑和多模态转换，那就应该在摘要部分描述这两个工作的重要意义，为什么要做这两个工作。而不是去介绍GAN。此外，摘要最后一段，“通过定量和定量两方面的实验分析”这儿有明显的错误，论文中多处都有类似的错误，望仔细修改。 2， 绪论部分，“1.1.3 最新进展和应用”，这个小标题需要修改。GAN的最新进展包括网络架构和各方面的应用，而图像编辑只是一个小应用。说图像编辑是GAN的最新进展是有问题的。同时，这部分才是论文涉及到的主要内容，需要展开大量描述。而不是对GAN进行大量描述。1.4 本文组织结构中，提到“第六章 对全文进行总结”，整个论文没有第六章，请认真检查修改。 3， 第2章 相关概念和研究工作介绍部分，2.2.2隐空间编辑和2.2.3多模态图像转换，是整个论文基础，在这儿应给出详细的描述。 4， 第3章 基于生成式对抗网络的图像编辑部分，在定量和定性比较时，为什么不选取同样的方法作比较，这样更有说服力。 5， 第五章 总结部分，写得跟摘要一样。这需要修改，总结部分要描述清是怎么做的，实现效果怎么样，解决了什么问题等。,良好,较差,一般,一般,熟悉
14,生成式对抗网络（GANs）被广泛应用于图像生成、图像编辑与图像转换等领域。论文着重对基于生成式对抗网络的图像编辑方法与多模态图像转换方法进行了研究，主要工作在于：针对现有生成式对抗网络在隐空间图像属性编辑中存在的语义耦合问题，提出了属性一致性生成式对抗网络ACGAN，实现了语义解偶的图像属性编辑；针对现有基于GANs的多模态图像转换方法没有充分利用模态间的一致性与互补性而导致生成的目标模态图像信息缺失的问题，提出了一种联合注意力生成式对抗网络JAGAN，提高了多模态图像转换的质量；实验验证了所提出模型的有效性。论文工作具有一定的理论与应用价值。 论文反映作者工作态度认真，对所研究内容比较熟悉，具备较扎实的基础理论和专业知识，有较强的分析和解决问题能力，能够独立从事科学研究工作。论文结构合理，条理清晰，论述正确，写作规范，工作量适中，达到了硕士学位论文要求。 问题： 1、 请解释摘要倒数第3行：“通过定量和定量两个方面的实验分析”的意思。 2、 请解释：P12第5行“通过脑部核磁共振可以四种模态的数据”的意思。,88,良好,论文如果增加自己采集的数据进行实验就更有说服力； 2、请仔细阅读论文，规范语言表述，避免出现文字与格式错误。,良好,良好,良好,良好,熟悉
15,"生成式对抗网络是最近几年人工智能领域的研究热点之一，该硕士论文针对目前基于生成式对抗网络的图像编辑与多模态图像转换存在的问题,开展了如下的研究工作: （1）提出了属性一致生成对抗网络 ACGAN，较好的解决了生成式对抗网络隐空间存在语义耦合的问题,并能更准确地控制生成图像的属性。 （2）提出了联合注意力生成式对抗网络 JAGAN，将模态内兼容性、模态间互补性和跨模态一致性合并到一个统一的生成框架中。 总体来说，该论文选题有一定意义，内容充实，主次分明，撰写认真，具有一定的理论价值，显示了申请人比较扎实的掌握了专业基础知识，具有一定的独立科研能力。建议可以按期答辩，并授予该同学硕士学位。 ",82,良好,（1） 基于生成式对抗网络的图像编辑和基于生成式对抗网络的多模态图像转换，总体上来说属于两个不同的问题，如作者能针对其中一个问题更加深入的开展研究则更好。 （2） 论文的第一章和第二章，写的比较简略，建议进一步更加详细的叙述生成式对抗网络的发展，以及更加详细的撰写基于生成式对抗网络的图像编辑和基于生成式对抗网络的多模态图像转的国内外研究现状。 （3） 有些章节标题有些文学化，例如：1.1生成式对抗网络的前世今生，由于是硕士论文，建议章节标题更加专业化一些。 （4） 第三章和第四章的标题要更加具体一点。 （5） 实验量不够充分，应该需要更加充分的实验，要和更多的SOTA方法进行比较。,良好,一般,良好,良好,熟悉
16,论文为了解决隐空间图像编辑语义耦合的问题，提出了属性一致性网络。将输入分解为内容变量和属性变量，保证了图像编辑的语义解耦。同时，针对多模态图像变换没有充分利用模态间的一致性和互补性问题，提出利用注意力机制解决该问题，显著提高了多模态图像的质量。因而，该论文的选题和工作具有较好的实际意义。 通过修改，论文的质量得到了较大的提升。能较好的体现作者所做工作，以及分析和解决问题的思路。论文条理清晰，结构合理。总体来说，达到硕士论文的要求。 ,90,优秀,,良好,优秀,良好,良好,熟悉
17,本文围绕基于组织病理学图像的预后研究，提出一种用于预后分析的组织病理学全切片图像的新型表征模型和一种使用可信多模态回归模型预测患者癌症等级的方法。 论文选题属于学科前沿，但文献阅读不够全面，近年来深度学习领域相关最新论文较少，工作量不够。学生掌握了应有的基础理论和专业知识。论文写作不规范，对实验对比不足，分析也较欠缺。 论文未达到申请硕士学位的学术水平，不同意答辩。,50,较差,"论文存在以下问题： 1. 第三章的表征，也并不具有很强的创新性，为什么不用现有的流行的深度学习进行特征提取和表征，而仅仅使用词袋模型，特征表征实验对比算法太古老，1990年的方法作为基础对比可以，但是还应该对比近5年的方法。第三章整个内容太单薄，不足以支撑一章内容。 2. 请问第三章和第四章有什么联系，第四章所用的特征表示或者特征提取方法，又不是第三章提出的？如果这样，第三章完全就没有必要，那么整个论文就只有第四章。 3. 第四章中引入的“融合模态“概念也是与文献【1】相同。另外，多模态深度学习方法已经很多，本文缺乏对比实验。 4. 对比实验中，与Cross Entropy 分类方法相比，为什么使用NIG方法的组织病理学图像单模态预测准确度较低（表4.2）为什么MoNIG在单模态时，没有MSE表现优异（表4.3）。 5. 论文题目和章节内容没有明显关联。 6. 表格表述不准确，表头为什么是在表的下方？是天津大学特有的要求吗？在CNKI上搜索了几篇天津大学2019年硕士论文，发现表头均是在表格上方。 7. 图中，有的位置是用英文，有的位置是用中文，如图4.8.类似表述应该统一 8. 从整个论文来看，章节间逻辑性不强，工作量不足。 【1】Chen R J, Lu M Y, Wang J, et al. Pathomic Fusion: An Integrated Framework for Fusing Histopathology and Genomic Features for Cancer Diagnosis and Prognosis [C]. In arXiv, 2019.",优秀,一般,一般,较差,很熟悉
18,“基于组织病理学图像的预后问题研究”主要围绕基于组织病理学图像的预后问题研究进行探索，具有较重要的实用价值。 论文提出了一种从组织病理学全切片图像提取特征的方法，并将其用于对患者生存期区间的预测。将患者的生存期按照不同的阈值划分为多个生存期区间，在多个阈值下进行风险等级的预测。论文还提出了一种使用可信多模态回归模型预测患者癌症等级的方法，实验表明其准确度明显优于同类方法。 论文撰写条理清晰、逻辑严谨、数据翔实、格式规范，论文工作表明作者在本学科领域已具备坚实的基础理论和系统的专门知识。论文已达到专业硕士学位论文水平，同意进行答辩。,90,优秀,"1、 注意规范性：“Bag of Words, Bow”应表示为BoW，“Root Mean SquardError, RMSE“中”Squard“有误。 2、 也可以在算法的效率上与同类方法进行比较。",优秀,良好,良好,优秀,熟悉
19,该论文研究了基于组织病理学全切片图像的特征表达、患者癌症等级预测方法，利用过滤加权词袋模型实现了组织病理学图像的特征提取，并在多个阈值下进行风险等级的预测。将组织病理学图像和基因组数据作为多模态输入，利用混合正态逆伽马分布将多个输出结果融合。该论文写作比较规范，研究内容具有一定的应用意义，在实验对比分析等方面需要进一步修改。,82,良好,（1）第三章实验未能有效分析所述过滤加权词袋模型的特征有效性，建议与其它典型特征表达模型进行对比分析。 （2）从表4-2不同模态下癌症等级预测平均精度看，交叉熵损失对应的模型在组织病理学图像上的预测精度更高。请补充相关分析。,良好,良好,一般,良好,熟悉
20,该论文围绕癌症患者的组织病理学图像研究预后相关问题，研究了过滤加权词袋模型和多模态回归模型的应用，建立了可信度较高的预测模型。该选题适当且具有一定的实用价值。 该论文从两个方面展开了研究：1、通过有先验的过滤加权词袋模型算法，探索了一种针对全切片图像的特征提取模型，并利用这些特征，成功的进行了患者预后生存区间的预测；2、采用多模态回归模型预测患者癌症等级，通过结合基因组数据和组织病理学图像，采用前后期融合相结合，使用正太逆伽马分布，获得了可信度较好的癌症等级预测结果。 该作者较熟悉该领域的知识要点，熟练掌握特征提取、人工神经网络等方法。文章逻辑清晰，条理清楚，是一篇比较优秀的硕士毕业论文,91,优秀,1、 在建立预测模型过程中，纳入的可分析因素略微不足，比如可以考虑一下人口学指标（如年龄、性别、身高/体重等）、吸烟/喝酒、血液指标，其他代谢综合征等。 2、 在预测癌症等级时，是否可考虑更进一步的计算对癌症每一级的预测准确度？ 3、 个别词句需要修改精炼（如“高纬？度”，“以对并对”，“包装到”）,优秀,良好,良好,优秀,熟悉
21,病理诊断是癌症诊断的“金标准”，病理诊断对病理学家为患者提供个体化治疗有着至关重要的作用。预后是医生对患者疾病进程、康复或存活机会的预测或估计。当代病理学侧重于基于数字化全切片病理图像的数据分析，数字化全切片病理图像中包含完整的组织学信息，并且支持病理学家放大图像查看细节。 对高精度病理图像进行详尽的人工检查是一项耗时耗力的工作。本文研究利用计算机辅助诊断技术处理并利用组织病理学图像对癌症的预后进行研究，大大减少病理学家的工作量， 具体贡献为： (1) 提出了一种用于预后分析的组织病理学全切片图像的新型表征模型。 (2) 提出了一种使用可信多模态回归模型预测患者癌症等级的方法。,78,良好,作者在论文章节关系和层次上的表述欠清晰，给读者理解其论文内容带来一些困扰。希望论文在这方面进行完善。比如： 1、论文题目不能反映论文的工作，建议将“基于组织病理学图像的预后问题研究”改为“ 基于机器学习的组织病理学图像的预后分析” 2、第3章 用于预后分析的全切片病理图像的新型表征， 建议改为 第3章 全切片病理图像的新型特征的抽取 3、第3章是将提取的特征用于对患者生存期区间的预测。第4章提出一种使用可信多模态回归模型预测患者癌症等级的方法。 这两章是什么关系？第3章和第4章是解决同一问题的两种并列方法，且第4章的性能比第3章优？ 还是说第3章仅仅适用于宫颈癌的分析，而第4章是适用一般癌症的通用分析方法？,良好,良好,良好,一般,一般
22,本文针对实际应用中全切片图像数据稀缺情形，围绕病理图像的高效分析处理及预后问题开展研究，选题新颖，具有重要的研究意义和实用价值。提出了一种基于词袋模型的全切片病理图像新型表征方法和一种可信多模态癌症等级回归模型，研究内容充实，所提方法具有一定的创新性。全文书写流畅，格式比较规范，但仍有较大提升空间。在介绍研究现状和所提创新方法前，建议分别对本领域存在的重大关键科学问题、各章拟研究的具体学科问题进一步凝练和明确清晰定义，提高论文的易读性,89,良好,建议对语言表达和图表进一步凝练、清晰化，部分具体建议如下： -论文标题未能更好体现所开展工作的创新性和特色。 -摘要第一段，对拟研究的具体科学问题表述不够明确清晰，建议进一步凝练。 -摘要中，“组织病理学全切片图像与自然图像相比，像素值更高”表义不清，何为像素值更高？空间分辨率，还是灰度分辨率？正文也有类似问题，如1.2.1节“由于单张WSI 像素值非常高”、“像素值高达100000x100000”，2.1节“像素值极高”。 -摘要中，“本方法设计的测试模型”，应为预测模型？ -1.2.1节第一段4-7行，所描述采用方法及举例跟下文重复冗赘，整体表述和分类逻辑混乱。 -1.2.1节第二段，“在实际的情况中，” -1.2.1节第二段，“平均精度值分别提高到81%和69%。”，无法看出“分别”与哪两对象对应，表达不清。 -英文注释的写作不规范，如首字母大小写不统一，例如2.2节。-文中大量出现“patch”“patches”，建议直接用中文表达“块”“小块”。 -表3-2中“K”应斜体书写，公式3-4/3-5上下文也有正斜体书写不一致问题。 -图表的表达一般应独立成义，图4-4中NIG、MoNIG何义？不易读。 -图4-7、4-8中曲线在黑白打印时无法区分，应用不同线型。,优秀,良好,优秀,良好,一般
23,该生查阅了国内外大量文献，对研究现状进行了综述和分析，结合太阳风数据特点，围绕时空关联信息挖掘的问题，开展了太阳风速度的预测研究，分别提出了基于双维注意力机制和图注意力机制的太阳风速预测方法。选题具有很好的理论意义和实际应用价值，论文结构较合理，内容较完整，思路较清晰，文笔较通畅，达到了硕士学位论文水平，建议参加答辩。,85,良好,1. 3.3.2节周期计算中，选择了0.0085的频率，此时周期是120小时，这个周期是否具有物理背景？或者具有可解释性？ 应在论文中给予说明。 2. 本文摘要、总结均将所建立的数据集作为文章的重点，但是从论文的结构来看，并没有将此数据集作为一个重点来说明，应将数据集放在较醒目的位置加以说明。,良好,良好,良好,良好,熟悉
24,可靠的预测近地环境太阳风状况，可以帮助相关部门根据空间天气预报做好相应的防护措施， 降低空间天气对人类生产生活的影响。论文选题具有一定实际应用价值。 论文提出基于双维注意力机制的太阳风速度预测模型，同时考虑特征维度和时间维度双维度的注意力机制初步探索时空关联信息的 挖掘，并获得了预测效果的显著提升； 进一步提出基于图神经网络的预测方法，进一步挖掘时空关联信息，预测效果有所提升。并利用公开数据集进行验证。论文实验方案设计较为合理、结论基本可信。论文撰写规范。达到了硕士学位论文要求，但是需要进行适当修改和补充。,80,良好,目前存在问题： 1、论文第一章，对问题研究现状的分析，缺少凝练、归纳总结、分析的不够，建议针对自己问题进行重新梳理，并补充最新、权威的文献。将研究现状放到第二章，与第一章重复，且依然存在着上述问题。 2、论文实验设计描述的不够严谨、应该围绕着问题解决加以设计，建议补充 3、论文实验分析过多的文字描述、定性的说明。建议分条，与问题一一对应，并给出定量分析 4、论文表达中过于口语，频繁出现我们等这样的主观文字，建议去掉，规范表达方式。图名也不规范，比如图3-2、3-3,良好,一般,良好,良好,很熟悉
25,论文针对太阳风速度预测问题采用近期流行的循环神经网络模型和图神经网络模型，引入注意力机制对现有方法进行了改进。从实验效果看，可以看到在多个集合上有比较稳定的提高。论文选题比较新颖，但创新不足。论文总体而言，论文的技术创新仅属于对现有方法的简单改进。论文行文基本流畅，书写基本规范。数据展示基本符合要求。但还有很多需要改进的地方。,81,良好,"论文书写存在诸多不规范的地方。下面列举了一些，希望作者对其他类似的错误也一并修改。 1.此句表述不清晰“并且进入了工业生产的过平程” 2.有些段落“一逗到底”； 3.公式1-1后应该用句号； 4.Page 6， “更好的提高”改为“更好地提高” 5.Page 15，表中第二列数据建议左对齐 6.论文中的URL最好以页脚的形式呈现 7.Page 27，第一行，其中后面用括号不合适，应该采用双引号把“，”括起来 8.Page 29，表3-2第一列左对齐,还应该加上这些方法所涉及的论文 9.Page 31，表3-3第一列左对齐 10.Page 37，“经过实验证明”实验是不能证明的，最多就是验证 11.放大图4-5，改善图的布局 12.Page 53， “较好的拟合了”改为“较好地” 此外，在论文所提方法上，创新性不强。仅是对已有方法的渐进式改进。做研究的目的是解决问题，而不是拿个现成方法应用一下。通过研究，作者是否可以回答，这个问题解决了吗？这个问题是否可以沿着神经网路这条路走下去？这些都应该在总结里给出结论性的东西。",良好,良好,良好,良好,熟悉
26,本文针对社会媒体中的话题监测开展研究，该问题是社会媒体分析中的研究热点和难点问题之一，文本的选题良好。本文针对社会媒体中文本内容短，采用传统的话题模型不能很好的进行分析的问题，提出了整合社交网络中结构特征的方法。针对现有模型没有考虑话题的不同传播模式以及变分自编码器为话题检测没有考虑社交网络中复杂的用户交互关系等问题，本文提出了基于双流图卷积网络的微博话题检测方法以及基于图先验变分自编码器的话题检测方法来解决上述问题。相关工作在多个新浪微博数据集上进行了实验。 本文的结构合理，文字良好，符合硕士论文要求,92,优秀,1. 部分表和图中包含英文，需要进行一些翻译，比如表 3-2 和 表 3-3中的”remove wide“、”remove deep“需要进行翻译 2. 部分参数较为敏感，比如图3-4 随机游动长度对话题连贯性的影响中所反映出来的，不同的长度对连贯性影响较大，如何在实际中进行超参数选择需要进行一些分析。 3. 所提出的基于消息传递和图先验分布的社交媒体主题模型为什么可以解决话题推理阶段用户间的相关性问题，需要进一步进行描述。,优秀,良好,良好,良好,熟悉
